target_mode,pooling,n,dt_recall,ft_k3_recall,dt_minus_ft,ci_low,ci_high,confidence
answer_conditioned,positive_mean_eligible,48,0.4895833333333333,0.6475694444444445,-0.15798611111111113,-0.2708333333333333,-0.054676649305554915,0.9875
answer_conditioned,signed_sum,48,0.35590277777777785,0.5104166666666666,-0.15451388888888887,-0.2986111111111111,-0.01909722222222222,0.9875
full,positive_mean_eligible,48,0.7638888888888888,0.7465277777777777,0.01736111111111111,-0.05555555555555556,0.09289279513888953,0.9875
full,signed_sum,48,0.720486111111111,0.6666666666666666,0.05381944444444444,-0.06164279513888927,0.17534722222222224,0.9875
