Method,RISE,MAS,RISE+AP
Seq Attr Scores Mean,0.12244432407093879,0.17868011505693246,0.1786801506738514
Row Attr Scores Mean,0.12244432407093879,0.17868011582865723,0.17868015074668847
Recursive Attr Scores Mean,0.12244432407093879,0.178680109983369,0.1786801494355754
Seq Attr Scores Var,0.017574076130341003,0.013355283125813492,0.013355285336011623
Row Attr Scores Var,0.017574076130341003,0.013355283782475488,0.01335528460743072
Recursive Attr Scores Var,0.017574076130341003,0.013355276943122175,0.013355275939850954
Avg Sample Time (s),20.83810605650302
