run,family,attr_func,candidate_mode,phase,repeat,target_input_tokens,actual_total_tokens,status,time_sec,peak_allocated_gb,peak_mem_reserved_gb,runner_init_seconds,input_sha256,error
batched_checks_pilot,qwen3,deltatrace_retained,root_tape,measured,10,1024,905,ok,0.549889326095581,28.295087104,29.00361216,0.0012865085154771805,69c6ca727af3b3a6ef5b22c7d021d9ed6fb5c8ac6a70331cfd730153dd92c14d,
batched_checks_pilot,qwen3,deltatrace_retained,root_batched,measured,11,1024,905,ok,0.5256400108337402,28.350871552,29.00361216,0.0012238454073667526,69c6ca727af3b3a6ef5b22c7d021d9ed6fb5c8ac6a70331cfd730153dd92c14d,
cast_boundaries_pilot,qwen3,deltatrace_retained,retained,warm,0,128,158,ok,5.029791831970215,16.734127616,16.802381824,0.0013179648667573929,a002b2c300403d22f024d37a8eb24b2994dfd672408380e860bb7cd6fb8d31bd,
cast_boundaries_pilot,qwen3,deltatrace_retained,root_rope,warm,1,128,158,ok,2.5747668743133545,18.565862912,18.704498688,0.001233397051692009,a002b2c300403d22f024d37a8eb24b2994dfd672408380e860bb7cd6fb8d31bd,
cast_boundaries_pilot,qwen3,deltatrace_retained,root_cast,warm,2,128,158,ok,9.696282148361206,18.551721984,18.702401536,0.0012922249734401703,a002b2c300403d22f024d37a8eb24b2994dfd672408380e860bb7cd6fb8d31bd,
cast_boundaries_pilot,qwen3,deltatrace_retained,retained,measured,3,128,158,ok,0.32739973068237305,16.734127616,16.802381824,0.0013297516852617264,a002b2c300403d22f024d37a8eb24b2994dfd672408380e860bb7cd6fb8d31bd,
cast_boundaries_pilot,qwen3,deltatrace_retained,root_rope,measured,4,128,158,ok,0.2092139720916748,18.565862912,18.704498688,0.00122779980301857,a002b2c300403d22f024d37a8eb24b2994dfd672408380e860bb7cd6fb8d31bd,
cast_boundaries_pilot,qwen3,deltatrace_retained,root_cast,measured,5,128,158,ok,0.17423295974731445,18.54074624,18.702401536,0.0012071207165718079,a002b2c300403d22f024d37a8eb24b2994dfd672408380e860bb7cd6fb8d31bd,
cast_boundaries_pilot,qwen3,deltatrace_retained,root_cast,measured,6,128,158,ok,0.1737673282623291,18.54074624,18.702401536,0.0013035908341407776,a002b2c300403d22f024d37a8eb24b2994dfd672408380e860bb7cd6fb8d31bd,
cast_boundaries_pilot,qwen3,deltatrace_retained,root_rope,measured,7,128,158,ok,0.18731307983398438,18.565862912,18.704498688,0.001342765986919403,a002b2c300403d22f024d37a8eb24b2994dfd672408380e860bb7cd6fb8d31bd,
