method,target_input_tokens,actual_total_tokens,mean_seconds,median_seconds,min_seconds,max_seconds,peak_allocated_gb,peak_reserved_gb
deltatrace_graphed,128,158,0.15116568406422934,0.15180158615112305,0.14853215217590332,0.1524643898010254,20.878614016,21.248344064
ifr_multi_hop_both,128,158,0.19651063283284506,0.19456946849822998,0.18663430213928223,0.21198081970214844,16.918830592,17.01838848
ifr_multi_hop,128,158,0.22215819358825684,0.2214341163635254,0.21951889991760254,0.226423978805542,16.918581248,17.01838848
deltatrace_graphed,256,265,0.20728500684102377,0.2083216905593872,0.20200371742248535,0.21210241317749023,23.611331072,24.761073664
ifr_multi_hop_both,256,265,0.24147586027781168,0.24100816249847412,0.2346179485321045,0.24838614463806152,17.118198784,17.230200832
ifr_multi_hop,256,265,0.27176447709401447,0.2712559700012207,0.269329309463501,0.2756810188293457,17.118296064,17.230200832
deltatrace_graphed,512,478,0.2989792426427205,0.29935145378112793,0.2949047088623047,0.30283546447753906,28.963429376,30.897340416
ifr_multi_hop_both,512,478,0.33759840329488117,0.32866406440734863,0.31931209564208984,0.389972448348999,17.66468608,17.92016384
ifr_multi_hop,512,478,0.3430590232213338,0.34253036975860596,0.32286763191223145,0.36294054985046387,17.665522688,17.92016384
deltatrace_graphed,1024,905,0.5316736300786337,0.5308805704116821,0.5291647911071777,0.5367124080657959,40.01894912,42.765123584
ifr_multi_hop_both,1024,905,0.5589839617411295,0.5613720417022705,0.5303802490234375,0.5852828025817871,19.437133312,19.662897152
ifr_multi_hop,1024,905,0.5671449502309164,0.5738884210586548,0.5362272262573242,0.5821681022644043,19.437133312,19.662897152
