model,scope,name,status,allocated_before,seconds,peak_allocated,peak_reserved,new_compiled_graphs,compiler_events_seconds_inclusive
qwen3,main,niah_mq_q2_6_original_FT_K1,returned,16449671680,0.46839360147714615,18114459648,23119003648,0,{}
qwen3,main,niah_mq_q2_6_FT_K1_original_metrics,returned,16449671680,2.264648050069809,16818691584,23119003648,0,{}
qwen3,main,niah_mq_q2_6_original_FT_K3,returned,16449671680,0.762211948633194,18114459648,23119003648,0,{}
qwen3,main,niah_mq_q2_7_DT,returned,16449695744,1.188677117228508,18702126592,23119003648,0,{}
qwen3,main,niah_mq_q2_7_DT_positive_original_metrics,returned,16449695744,5.026774819940329,17189360128,23119003648,0,{}
qwen3,main,niah_mq_q2_7_original_FT_K1,returned,16449695744,0.8187009021639824,21328687104,23119003648,0,{}
qwen3,main,niah_mq_q2_7_FT_K1_original_metrics,returned,16449695744,4.9996306374669075,17189360128,23119003648,0,{}
qwen3,main,niah_mq_q2_7_original_FT_K3,returned,16449695744,1.3588769510388374,21328687104,23119003648,0,{}
qwen3,main,niah_mq_q2_8_DT,returned,16449670656,0.6883453540503979,17610636800,23119003648,0,{}
qwen3,main,niah_mq_q2_8_DT_positive_original_metrics,returned,16449670656,2.181103654205799,16807651328,23119003648,0,{}
qwen3,main,niah_mq_q2_8_original_FT_K1,returned,16449670656,0.4825620464980602,18056279040,23119003648,0,{}
qwen3,main,niah_mq_q2_8_FT_K1_original_metrics,returned,16449670656,2.176010377705097,16807651328,23119003648,0,{}
qwen3,main,niah_mq_q2_8_original_FT_K3,returned,16449670656,0.835529550909996,18056279040,23119003648,0,{}
qwen3,main,niah_mq_q2_9_DT,returned,16449672704,0.7423842512071133,17829817344,23119003648,0,{}
qwen3,main,niah_mq_q2_9_DT_positive_original_metrics,returned,16449672704,2.126977577805519,16858097664,23119003648,0,{}
qwen3,main,niah_mq_q2_9_original_FT_K1,returned,16449672704,0.539484154433012,18371410432,23119003648,0,{}
qwen3,main,niah_mq_q2_9_FT_K1_original_metrics,returned,16449672704,2.1203981898725033,16858097664,23119003648,0,{}
qwen3,main,niah_mq_q2_9_original_FT_K3,returned,16449672704,0.9436385557055473,18371410432,23119003648,0,{}
qwen3,main,niah_mq_q2_10_DT,returned,16449671680,0.7134900577366352,17726253568,23119003648,0,{}
qwen3,main,niah_mq_q2_10_DT_positive_original_metrics,returned,16449671680,2.2712067030370235,16838040576,23119003648,0,{}
qwen3,main,niah_mq_q2_10_original_FT_K1,returned,16449671680,0.5390864238142967,18240566272,23119003648,0,{}
qwen3,main,niah_mq_q2_10_FT_K1_original_metrics,returned,16449671680,2.2910486944019794,16838040576,23119003648,0,{}
qwen3,main,niah_mq_q2_10_original_FT_K3,returned,16449671680,0.7955739535391331,18240566272,23119003648,0,{}
qwen3,main,niah_mq_q2_11_DT,returned,16449670656,0.6512884758412838,17623894528,23119003648,0,{}
qwen3,main,niah_mq_q2_11_DT_positive_original_metrics,returned,16449670656,2.1440362110733986,16812513280,23119003648,0,{}
qwen3,main,niah_mq_q2_11_original_FT_K1,returned,16449670656,0.4509376995265484,18076741632,23119003648,0,{}
qwen3,main,niah_mq_q2_11_FT_K1_original_metrics,returned,16449670656,2.1515222415328026,16812513280,23119003648,0,{}
qwen3,main,niah_mq_q2_11_original_FT_K3,returned,16449670656,0.728366456925869,18076741632,23119003648,0,{}
qwen3,main,niah_mq_q2_12_DT,returned,16449673728,0.7066759802401066,17910142464,23530045440,0,{}
qwen3,main,niah_mq_q2_12_DT_positive_original_metrics,returned,16449673728,2.3454004861414433,16872077824,23530045440,0,{}
qwen3,main,niah_mq_q2_12_original_FT_K1,returned,16449673728,0.535822469741106,18464724992,23530045440,0,{}
qwen3,main,niah_mq_q2_12_FT_K1_original_metrics,returned,16449673728,2.341628525406122,16872077824,23530045440,0,{}
qwen3,main,niah_mq_q2_12_original_FT_K3,returned,16449673728,0.8369830772280693,18464724992,23530045440,0,{}
qwen3,main,niah_mq_q2_13_DT,returned,16449696768,1.2539632841944695,18795192832,23530045440,0,{}
qwen3,main,niah_mq_q2_13_DT_positive_original_metrics,returned,16449696768,5.023185595870018,17213671936,23530045440,0,{}
qwen3,main,niah_mq_q2_13_original_FT_K1,returned,16449696768,0.819669034332037,21605906944,24016584704,0,{}
qwen3,main,niah_mq_q2_13_FT_K1_original_metrics,returned,16449696768,4.997929330915213,17213671936,24016584704,0,{}
qwen3,main,niah_mq_q2_13_original_FT_K3,returned,16449696768,1.3013582900166512,21605906944,24400363520,0,{}
qwen3,main,niah_mq_q2_14_DT,returned,16449694720,1.1223417855799198,18638417408,24400363520,0,{}
qwen3,main,niah_mq_q2_14_DT_positive_original_metrics,returned,16449694720,4.512861713767052,17172948480,24400363520,0,{}
qwen3,main,niah_mq_q2_14_original_FT_K1,returned,16449694720,0.7575704082846642,21147517952,24400363520,0,{}
qwen3,main,niah_mq_q2_14_FT_K1_original_metrics,returned,16449694720,4.522204615175724,17172948480,24400363520,0,{}
