attr_func,target_input_tokens,target_output_tokens,target_total_tokens,time_mean,time_std,peak_mem_mean,peak_mem_std,statuses
ifr_all_positions,128,32,160,1.7266,0.3245,17.2784,0.3203,ok|ok|ok
ifr_all_positions,256,32,288,2.1732,0.0060,17.3099,0.0000,ok|ok|ok
ifr_all_positions,512,32,544,3.8236,0.1127,17.9873,0.0000,ok|ok|ok
ifr_all_positions,1024,32,1056,6.6430,0.0523,19.7300,0.0000,ok|ok|ok
